"","Round","Team","HomeAway","No","Player","Mins","AST","BLK","FGA","FGM","FGpc","FlsOn","FTA","FTM","FTpc","Pts","REB","STL","ThreePA","ThreePM","ThreePpc","TO","TwoPA","TwoPM","TwoPpc"
"37","2","ADELAIDE","AWAY",12,"Good, J.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","2","ADELAIDE","AWAY",10,"HODGES, L.",15.38,0,0,5,3,60,0,0,0,0,6,1,1,0,0,0,0,5,3,60
"39","2","ADELAIDE","AWAY",1,"Nicholson, L.",26.63,2,0,6,3,50,3,0,0,0,8,6,1,4,2,50,1,2,1,50
"40","2","ADELAIDE","AWAY",21,"Novosel, N.",32.33,8,1,14,4,28,4,6,5,83,14,3,0,5,1,20,1,9,3,33
"41","2","ADELAIDE","AWAY",35,"Seekamp, N.",36.7,3,0,10,2,20,3,2,2,100,6,1,2,2,0,0,4,8,2,25
"42","2","ADELAIDE","AWAY",44,"Hamblin, R.",24.77,0,3,9,5,56,1,0,0,0,10,13,0,0,0,0,0,9,5,56
"43","2","ADELAIDE","AWAY",7,"Elsworthy, S.",3.13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","2","ADELAIDE","AWAY",9,"Panousis, V.",9.9,1,0,3,1,33,0,0,0,0,2,1,0,1,0,0,1,2,1,50
"45","3","UCCAPS","AWAY",13,"Wehrung, A.",31.22,1,0,10,4,40,3,2,1,50,9,5,1,2,0,0,3,8,4,50
"46","3","UCCAPS","AWAY",5,"Magbegor, E.",13.4,1,3,6,2,33,1,0,0,0,4,4,1,0,0,0,0,6,2,33
"47","3","UCCAPS","AWAY",35,"Hooper, J.",25.87,1,1,8,2,25,1,2,2,100,7,5,0,6,1,17,0,2,1,50
"48","3","UCCAPS","AWAY",10,"Gaze, K.",17.02,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2,1,0,0
"49","3","UCCAPS","AWAY",21,"Froling, K.",11.37,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0
"50","3","UCCAPS","AWAY",22,"Scherf, L.",22.57,1,1,15,6,40,1,0,0,0,13,8,0,3,1,33,2,12,5,42
"51","3","UCCAPS","AWAY",23,"Rocci, M.",2.6,1,0,1,0,0,2,4,4,100,4,1,0,0,0,0,0,1,0,0
"52","3","UCCAPS","AWAY",3,"Bass, M.",16.35,1,0,8,4,50,1,0,0,0,8,1,0,0,0,0,3,8,4,50
"53","3","UCCAPS","AWAY",7,"Hurst, N.",35.13,6,0,10,5,50,0,0,0,0,13,5,1,6,3,50,2,4,2,50
"54","3","UCCAPS","AWAY",12,"Jarry, R.",24.32,2,0,8,3,38,2,2,1,50,7,6,1,2,0,0,1,6,3,50
"55","3","TOWNSVILLE","HOME",23,"George, C.",32.13,1,2,15,6,40,3,0,0,0,14,9,2,6,2,33,0,9,4,44
"56","3","TOWNSVILLE","HOME",14,"Garbin, D.",11.37,1,1,7,1,14,3,0,0,0,2,5,0,0,0,0,1,7,1,14
"57","3","TOWNSVILLE","HOME",7,"Andrews, H.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","3","TOWNSVILLE","HOME",22,"Wilson, K.",30.37,1,0,5,2,40,2,2,2,100,7,4,2,2,1,50,0,3,1,33
"59","3","TOWNSVILLE","HOME",1,"Mincy, L.",25.13,3,0,10,6,60,0,0,0,0,13,6,1,2,1,50,1,8,5,63
"60","3","TOWNSVILLE","HOME",10,"Murray, M.",25.32,3,3,9,2,22,2,3,1,33,5,3,0,3,0,0,0,6,2,33
"61","3","TOWNSVILLE","HOME",32,"Cocks, M.",24.25,1,0,4,2,50,1,1,1,100,5,3,0,2,0,0,2,2,2,100
"62","3","TOWNSVILLE","HOME",3,"Goodchild, M.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63","3","TOWNSVILLE","HOME",6,"Donnelly, M.",14.82,4,0,3,2,67,2,3,3,100,7,2,0,0,0,0,2,3,2,67
"64","3","TOWNSVILLE","HOME",8,"Batkovic, S.",31.3,4,0,18,6,33,7,10,8,80,20,12,3,0,0,0,2,18,6,33
"65","3","TOWNSVILLE","HOME",24,"Wiese, S.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66","3","TOWNSVILLE","HOME",15,"Aokuso, Z.",5.15,0,0,3,1,33,2,3,1,33,3,2,0,0,0,0,0,3,1,33
"67","4","UCCAPS","HOME",13,"Wehrung, A.",22.82,2,0,7,2,28,0,0,0,0,4,5,0,3,0,0,2,4,2,50
"68","4","UCCAPS","HOME",9,"Bourne, C.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69","4","UCCAPS","HOME",5,"Magbegor, E.",19.85,2,2,10,5,50,2,2,1,50,11,5,1,0,0,0,0,10,5,50
"70","4","UCCAPS","HOME",35,"Hooper, J.",22.88,0,0,6,1,17,2,2,2,100,5,3,0,3,1,33,2,3,0,0
"71","4","UCCAPS","HOME",10,"Gaze, K.",17.63,1,0,7,3,43,3,1,1,100,8,0,0,4,1,25,2,3,2,67
"72","4","UCCAPS","HOME",21,"Froling, K.",11.58,0,0,2,1,50,3,3,2,67,4,2,0,0,0,0,1,2,1,50
"73","4","UCCAPS","HOME",22,"Scherf, L.",19.38,0,0,9,3,33,1,2,1,50,8,3,0,2,1,50,0,7,2,28
"74","4","UCCAPS","HOME",23,"Rocci, M.",14.77,4,0,5,2,40,4,3,1,33,5,4,0,0,0,0,2,5,2,40
"75","4","UCCAPS","HOME",3,"Bass, M.",18.25,0,0,7,2,28,2,1,0,0,4,2,3,0,0,0,1,7,2,28
"76","4","UCCAPS","HOME",7,"Hurst, N.",25.22,1,0,11,4,36,2,2,1,50,10,0,0,3,1,33,3,8,3,38
"77","4","UCCAPS","HOME",12,"Jarry, R.",19.25,1,0,3,1,33,3,3,2,67,4,1,1,0,0,0,2,3,1,33
"78","4","MELBBOOM","AWAY",15,"Grant, A.",16.88,1,1,5,1,20,1,0,0,0,3,2,1,1,1,100,2,4,0,0
"79","4","MELBBOOM","AWAY",3,"Smart, B.",22.18,2,0,9,6,67,1,2,2,100,16,3,1,5,2,40,0,4,4,100
"80","4","MELBBOOM","AWAY",50,"Duever, C.",13,0,0,2,2,100,1,2,2,100,6,2,0,0,0,0,1,2,2,100
"81","4","MELBBOOM","AWAY",8,"Cambage, E.",24.62,2,3,16,12,75,5,5,3,60,27,8,0,1,0,0,1,15,12,80
"82","4","MELBBOOM","AWAY",11,"O'Hea, J.",26.85,5,1,7,6,86,5,7,6,86,19,7,4,2,1,50,1,5,5,100
"83","4","MELBBOOM","AWAY",32,"Purcell, K.",25.43,3,1,4,2,50,0,0,0,0,4,3,1,0,0,0,2,4,2,50
"84","4","MELBBOOM","AWAY",23,"Garrick, M.",27.13,3,0,10,3,30,3,0,0,0,6,0,1,2,0,0,2,8,3,38
"85","4","MELBBOOM","AWAY",14,"Conti, M.",19.78,2,0,2,0,0,0,0,0,0,0,3,1,0,0,0,2,2,0,0
"86","4","MELBBOOM","AWAY",4,"Cole, R.",24,5,1,6,3,50,3,5,5,100,11,5,3,2,0,0,3,4,3,75
"87","4","MELBBOOM","AWAY",6,"Ott, R.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88","5","UCCAPS","HOME",13,"Wehrung, A.",26.9,3,0,10,7,70,0,0,0,0,19,5,0,6,5,83,1,4,2,50
"89","5","UCCAPS","HOME",9,"Bourne, C.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90","5","UCCAPS","HOME",20,"Paalvast, C.",3.3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"91","5","UCCAPS","HOME",5,"Magbegor, E.",6.75,0,0,2,0,0,1,2,2,100,2,1,2,0,0,0,1,2,0,0
"92","5","UCCAPS","HOME",35,"Hooper, J.",30.03,3,0,13,2,15,0,0,0,0,6,5,2,7,2,28,1,6,0,0
"93","5","UCCAPS","HOME",10,"Gaze, K.",14.17,0,1,4,1,25,1,0,0,0,3,1,1,2,1,50,1,2,0,0
"94","5","UCCAPS","HOME",21,"Froling, K.",14.33,2,0,3,2,67,0,0,0,0,5,2,0,1,1,100,1,2,1,50
"95","5","UCCAPS","HOME",22,"Scherf, L.",24.52,3,0,10,4,40,2,2,1,50,9,8,0,3,0,0,1,7,4,56
"96","5","UCCAPS","HOME",23,"Rocci, M.",2.28,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"97","5","UCCAPS","HOME",3,"Bass, M.",16.32,1,0,11,5,45,4,6,2,33,12,3,0,0,0,0,1,11,5,45
"98","5","UCCAPS","HOME",7,"Hurst, N.",37.7,8,0,13,5,38,0,0,0,0,12,5,1,8,2,25,1,5,3,60
"99","5","UCCAPS","HOME",12,"Jarry, R.",23.6,0,0,7,1,14,4,6,6,100,8,4,0,0,0,0,1,7,1,14
"100","5","DANDENONG","AWAY",14,"Todhunter, A.",8.65,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,1,1,0,0
"101","5","DANDENONG","AWAY",11,"Mijovic, c.",24.43,3,5,13,3,23,1,2,1,50,8,4,0,5,1,20,0,8,2,25
"102","5","DANDENONG","AWAY",2,"Pedersen, K.",35.53,4,0,12,7,57,4,5,5,100,19,12,0,0,0,0,4,12,7,57
"103","5","DANDENONG","AWAY",10,"Rowe, K.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"104","5","DANDENONG","AWAY",13,"Palau, L.",21.68,4,0,4,2,50,2,0,0,0,4,6,1,1,0,0,0,3,2,67
"105","5","DANDENONG","AWAY",7,"Pizzey, R.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106","5","DANDENONG","AWAY",15,"Blicavs, S.",36.47,6,0,23,11,48,2,2,2,100,24,11,2,2,0,0,2,21,11,52
